model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#2,0.12363,0.118614,1.120079,1.123654,0.134292
lgbm_gbdt#2,0.118226,0.109248,0.954628,0.970892,0.115447
lgbm_dart#1,0.11811,0.101255,1.144923,1.079683,0.115423
N-En,0.105878,0.099913,1.063971,1.226275,0.114415
ridge#2,0.105069,0.085887,2.066401,1.632845,0.122748
ridge#1,0.104336,0.084388,2.063778,1.640452,0.121314
lgbm_gbdt#1,0.103172,0.101386,0.850616,0.737574,0.108452
rf#2,0.097191,0.102901,1.048088,1.188836,0.117477
pls#2,0.090408,0.083394,0.842226,1.444143,0.126142
rf#1,0.088663,0.109032,0.872698,1.054121,0.122408
ffn#1,0.08151,0.067554,0.952758,1.565203,0.098681
L-En,0.078872,0.049488,1.446731,1.788555,0.09249
pcr#2,0.058712,0.030663,1.401146,1.931792,0.074925
pcr#1,0.05871,0.030663,1.401154,1.9318,0.074923
pls#1,0.056733,0.072016,0.733524,1.589685,0.121924
elasticnet#1,0.052433,0.023164,1.463528,1.789472,0.057099
ffn#2,0.052369,0.03939,1.116975,1.785041,0.05808
elasticnet#2,0.045663,0.020277,1.494562,1.823675,0.050028
lasso#2,0.044488,0.019284,1.474815,1.794235,0.048669
lasso#1,0.043451,0.018802,1.483648,1.799324,0.047387
