model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
pls#2,0.057714,0.023734,-0.497336,-0.101765,0.103323
ffn#1,0.056825,0.029558,-0.421783,0.207803,0.082882
pls#1,0.055633,0.030442,-0.271332,0.288526,0.102742
L-En,0.051708,0.031874,0.517258,1.359985,0.078837
ridge#1,0.050489,0.043029,1.091719,1.336464,0.097136
ridge#2,0.050404,0.043398,1.078849,1.339862,0.098202
lgbm_gbdt#2,0.045985,0.036038,-0.383882,0.625724,0.09503
ffn#2,0.045133,0.024504,-0.115927,0.758726,0.051503
N-En,0.044259,0.037496,-0.484823,0.677695,0.093781
lgbm_dart#1,0.043282,0.037793,-0.509845,1.027898,0.093576
lgbm_dart#2,0.042394,0.037807,-0.532105,0.611518,0.109222
rf#2,0.036787,0.04468,-0.430243,1.078477,0.096186
rf#1,0.029877,0.044517,-0.624714,0.723824,0.098634
pcr#2,0.028322,0.022553,0.531967,1.386252,0.063146
pcr#1,0.028321,0.022553,0.531983,1.38627,0.063144
lgbm_gbdt#1,0.024597,0.024196,-0.852103,-0.368123,0.083954
elasticnet#1,0.023241,0.021778,0.357528,2.122981,0.049031
elasticnet#2,0.019614,0.018912,0.35303,2.213509,0.042736
lasso#2,0.017278,0.018424,0.242571,2.189965,0.041638
lasso#1,0.016999,0.01797,0.255567,2.205342,0.040548
