model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
N-En,0.052681,0.016664,-0.998246,-1.237733,-0.171358
elasticnet#2,0.039665,-0.00951,-0.735964,-1.000869,-0.121153
elasticnet#1,0.039615,-0.010094,-0.735655,-1.011967,-0.121407
lasso#1,0.039574,-0.007985,-0.742832,-0.959894,-0.12232
lasso#2,0.039538,-0.007876,-0.743825,-0.957356,-0.122428
pcr#1,0.030304,0.001254,1.020679,0.422744,0.022281
pcr#2,0.030304,0.001254,1.020679,0.422744,0.022281
L-En,0.027961,-0.027374,-0.962524,-1.749418,-0.131642
lgbm_dart#1,0.026009,-0.032211,-0.855985,-1.151243,-0.149457
rf#2,0.023734,-0.010222,-1.266269,-1.347797,-0.174173
rf#1,0.008868,-0.009302,-1.415163,-1.315056,-0.190954
lgbm_gbdt#2,0.000335,-0.047367,-0.397086,-0.499675,-0.285793
ffn#1,-0.023176,0.054014,-1.390743,-1.147941,-0.330992
ffn#2,-0.033739,0.049821,-1.41187,-1.190846,-0.345793
lgbm_dart#2,-0.034457,-0.034479,-1.881864,-1.849456,-0.330843
lgbm_gbdt#1,-0.050512,-0.064641,-1.943164,-1.980732,-0.382431
pls#2,-0.439076,-0.321814,-2.668846,-2.3994,-0.803299
ridge#1,-0.543603,-0.132068,-2.296672,-2.20382,-0.76075
ridge#2,-0.553653,-0.133189,-2.314964,-2.209528,-0.772688
pls#1,-0.75936,-0.182,-3.573524,-1.904666,-1.452899
