date,open,high,low,adj close,close,volume
Dec 29 2023,42675.00,43115.00,42215.00,42679.74,42679.74,6815
Dec 28 2023,43450.00,43895.00,42265.00,42515.00,42515.00,6585
Dec 27 2023,42475.00,43685.00,42150.00,43565.00,43565.00,9099
Dec 26 2023,43740.00,43760.00,41645.00,42150.00,42150.00,11155
Dec 22 2023,44110.00,44640.00,43495.00,43765.00,43765.00,9107
Dec 21 2023,43770.00,44465.00,43470.00,43860.00,43860.00,8472
Dec 20 2023,42455.00,44585.00,42305.00,43630.00,43630.00,10587
Dec 19 2023,42770.00,43670.00,41905.00,42360.00,42360.00,9272
Dec 18 2023,41950.00,42995.00,40705.00,42105.00,42105.00,6931
Dec 15 2023,43285.00,43455.00,41855.00,42440.00,42440.00,6434
Dec 14 2023,43350.00,43710.00,41935.00,43140.00,43140.00,8287
Dec 13 2023,41445.00,43505.00,40800.00,43210.00,43210.00,7734
Dec 12 2023,41530.00,42295.00,40895.00,41455.00,41455.00,6933
Dec 11 2023,44320.00,44320.00,40450.00,41035.00,41035.00,14410
Dec 8 2023,43595.00,45260.00,43515.00,44910.00,44910.00,7011
Dec 7 2023,44220.00,44555.00,43355.00,43700.00,43700.00,7768
Dec 6 2023,44770.00,44775.00,43815.00,44215.00,44215.00,9164
Dec 5 2023,42395.00,44725.00,41810.00,44290.00,44290.00,10616
Dec 4 2023,40480.00,42715.00,40325.00,42280.00,42280.00,13276
Dec 1 2023,38150.00,39640.00,38045.00,39225.00,39225.00,11744
Nov 30 2023,38205.00,38650.00,37870.00,38190.00,38190.00,6891
Nov 29 2023,38585.00,39105.00,38005.00,38065.00,38065.00,9088
Nov 28 2023,37555.00,39250.00,37300.00,38885.00,38885.00,12491
Nov 27 2023,38365.00,38365.00,37100.00,37210.00,37210.00,8695
Nov 24 2023,37540.00,38195.00,36890.00,38122.84,38122.84,10216
Nov 23 2023,37540.00,37705.00,36890.00,37220.00,37220.00,11869
Nov 22 2023,36430.00,37925.00,35600.00,37655.00,37655.00,11869
Nov 21 2023,37525.00,37745.00,36225.00,36920.00,36920.00,17841
Nov 20 2023,37075.00,37865.00,36745.00,37615.00,37615.00,15555
Nov 17 2023,36295.00,37045.00,35945.00,36565.00,36565.00,10400
Nov 16 2023,37955.00,38285.00,35610.00,36040.00,36040.00,11861
Nov 15 2023,35665.00,38130.00,35490.00,37820.00,37820.00,12335
Nov 14 2023,36805.00,36975.00,34820.00,35365.00,35365.00,10502
Nov 13 2023,37510.00,37720.00,36505.00,36915.00,36915.00,6819
Nov 10 2023,36815.00,37875.00,36605.00,37555.00,37555.00,8283
Nov 9 2023,36090.00,38380.00,35865.00,36805.00,36805.00,16525
Nov 8 2023,35760.00,36415.00,35300.00,35895.00,35895.00,7862
Nov 7 2023,35385.00,36340.00,34755.00,36145.00,36145.00,8038
Nov 6 2023,35310.00,35820.00,35030.00,35320.00,35320.00,5080
Nov 3 2023,35200.00,35265.00,34395.00,34805.00,34805.00,6829
Nov 2 2023,35810.00,36575.00,34590.00,35300.00,35300.00,10328
Nov 1 2023,34865.00,35940.00,34310.00,34965.00,34965.00,9752
Oct 31 2023,34775.00,35110.00,34295.00,34905.00,34905.00,5971
Oct 30 2023,34785.00,35175.00,34330.00,34765.00,34765.00,6449
Oct 27 2023,34150.00,34290.00,33835.00,33980.05,33980.05,7077
Oct 26 2023,34685.00,34940.00,33760.00,34065.00,34065.00,11713
Oct 25 2023,34150.00,35245.00,33745.00,34840.00,34840.00,13542
Oct 24 2023,31705.00,35265.00,31705.00,33845.00,33845.00,26556
Oct 23 2023,29860.00,31940.00,29840.00,31485.00,31485.00,15576
Oct 20 2023,28745.00,30465.00,28700.00,29685.00,29685.00,10080
Oct 19 2023,28335.00,29095.00,28175.00,28900.00,28900.00,7780
Oct 18 2023,28590.00,29120.00,28215.00,28320.00,28320.00,4733
Oct 17 2023,28575.00,28805.00,28245.00,28620.00,28620.00,6603
Oct 16 2023,27275.00,30365.00,27145.00,28575.00,28575.00,26787
Oct 13 2023,26795.00,27160.00,26695.00,26840.00,26840.00,4859
Oct 12 2023,26775.00,27025.00,26575.00,26755.00,26755.00,4426
Oct 11 2023,27540.00,27590.00,26575.00,26800.00,26800.00,10160
Oct 10 2023,27720.00,27890.00,27390.00,27490.00,27490.00,6128
Oct 9 2023,28085.00,28145.00,27370.00,27735.00,27735.00,7430
Oct 6 2023,27600.00,28275.00,27290.00,28145.00,28145.00,9349
Oct 5 2023,27855.00,28340.00,27465.00,27605.00,27605.00,10419
Oct 4 2023,27520.00,28015.00,27270.00,27775.00,27775.00,5558
Oct 3 2023,27680.00,27805.00,27290.00,27385.00,27385.00,8348
Oct 2 2023,27190.00,28950.00,27190.00,28150.00,28150.00,16751
Sep 29 2023,27040.00,27225.00,26750.00,26869.69,26869.69,6417
Sep 28 2023,26280.00,27370.00,26280.00,27120.00,27120.00,10622
Sep 27 2023,26150.00,26890.00,26080.00,26250.00,26250.00,12318
Sep 26 2023,26300.00,26430.00,26090.00,26245.00,26245.00,8234
Sep 25 2023,26545.00,26545.00,25985.00,26355.00,26355.00,9696
Sep 22 2023,26600.00,26815.00,26525.00,26545.00,26545.00,3757
Sep 21 2023,27165.00,27230.00,26380.00,26635.00,26635.00,6747
Sep 20 2023,27225.00,27455.00,26845.00,26990.00,26990.00,5569
Sep 19 2023,26885.00,27620.00,26715.00,27270.00,27270.00,8349
Sep 18 2023,26560.00,27550.00,26425.00,26885.00,26885.00,10480
Sep 15 2023,26635.00,26780.00,26265.00,26475.00,26475.00,3990
Sep 14 2023,26330.00,26955.00,26215.00,26765.00,26765.00,5968
Sep 13 2023,26180.00,26520.00,25845.00,26205.00,26205.00,5247
Sep 12 2023,25140.00,26685.00,25100.00,26125.00,26125.00,11268
Sep 11 2023,25930.00,26120.00,24925.00,25030.00,25030.00,8627
Sep 8 2023,26210.00,26560.00,25690.00,26005.00,26005.00,6232
Sep 7 2023,25795.00,26090.00,25630.00,25980.00,25980.00,3776
Sep 6 2023,25795.00,26140.00,25335.00,25705.00,25705.00,5237
Sep 5 2023,25985.00,26170.00,25580.00,25735.00,25735.00,4758
Sep 1 2023,26070.00,26225.00,25400.00,25700.00,25700.00,6918
Aug 31 2023,27385.00,27705.00,26010.00,26240.00,26240.00,10310
Aug 30 2023,27875.00,27970.00,27130.00,27260.00,27260.00,7293
Aug 29 2023,26075.00,28335.00,25980.00,28010.00,28010.00,19905
Aug 28 2023,26210.00,26360.00,25930.00,26090.00,26090.00,3315
Aug 25 2023,26070.00,26190.00,25945.00,26003.36,26003.36,5998
