datetime,addresses_count_active,funding_rates,long_liquidations_usd,oi_put,oi_call,open_interest,short_liquidations_usd,taker_buy_sell_ratio,taker_buy_volume,SPOT_inflow_total,SPOT_netflow_total,SPOT_outflow_total,SPOT_reserve_usd,SPOT_transactions_count_inflow,SPOT_transactions_count_outflow,fees_transaction_median_usd,SPOT_exchange_whale_ratio,SPOT_stablecoins_ratio_usd,estimated_leverage_ratio
2009-01-02 19:00:00,1.0,,,,,,,,,,,,,,,0.0,,,
2009-01-03 19:00:00,0.0,,,,,,,,,,,,,,,0.0,,,
2009-01-04 19:00:00,0.0,,,,,,,,,,,,,,,0.0,,,
2009-01-05 19:00:00,0.0,,,,,,,,,,,,,,,0.0,,,
2009-01-06 19:00:00,0.0,,,,,,,,,,,,,,,0.0,,,
2009-01-07 19:00:00,0.0,,,,,,,,,,,,,,,0.0,,,
2009-01-08 19:00:00,14.0,,,,,,,,,,,,,,,0.0,,,
2009-01-09 19:00:00,61.0,,,,,,,,,,,,,,,0.0,,,
2009-01-10 19:00:00,93.0,,,,,,,,,,,,,,,0.0,,,
2009-01-11 19:00:00,102.0,,,,,,,,,,,,,,,0.0,,,
2009-01-12 19:00:00,123.0,,,,,,,,,,,,,,,0.0,,,
2009-01-13 19:00:00,133.0,,,,,,,,,,,,,,,0.0,,,
2009-01-14 19:00:00,140.0,,,,,,,,,,,,,,,0.0,,,
2009-01-15 19:00:00,114.0,,,,,,,,,,,,,,,0.0,,,
2009-01-16 19:00:00,109.0,,,,,,,,,,,,,,,0.0,,,
2009-01-17 19:00:00,111.0,,,,,,,,,,,,,,,0.0,,,
2009-01-18 19:00:00,133.0,,,,,,,,,,,,,,,0.0,,,
2009-01-19 19:00:00,123.0,,,,,,,,,,,,,,,0.0,,,
2009-01-20 19:00:00,105.0,,,,,,,,,,,,,,,0.0,,,
2009-01-21 19:00:00,102.0,,,,,,,,,,,,,,,0.0,,,
2009-01-22 19:00:00,95.0,,,,,,,,,,,,,,,0.0,,,
2009-01-23 19:00:00,212.0,,,,,,,,,,,,,,,0.0,,,
2009-01-24 19:00:00,193.0,,,,,,,,,,,,,,,0.0,,,
2009-01-25 19:00:00,117.0,,,,,,,,,,,,,,,0.0,,,
2009-01-26 19:00:00,101.0,,,,,,,,,,,,,,,0.0,,,
2009-01-27 19:00:00,112.0,,,,,,,,,,,,,,,0.0,,,
2009-01-28 19:00:00,134.0,,,,,,,,,,,,,,,0.0,,,
2009-01-29 19:00:00,117.0,,,,,,,,,,,,,,,0.0,,,
2009-01-30 19:00:00,159.0,,,,,,,,,,,,,,,0.0,,,
2009-01-31 19:00:00,116.0,,,,,,,,,,,,,,,0.0,,,
