date,close,open,high,low,volume,change_pct
2023-01-02,16652.5,16492.5,16725.0,16492.5,,0.71
2023-01-03,16615.0,16675.0,16765.0,16525.0,4090.0,-0.23
2023-01-04,16780.0,16625.0,17015.0,16610.0,7390.0,0.99
2023-01-05,16840.0,16810.0,16890.0,16715.0,3410.0,0.36
2023-01-06,16895.0,16825.0,17085.0,16645.0,6140.0,0.33
2023-01-09,17225.0,16980.0,17440.0,16955.0,7470.0,1.95
2023-01-10,17535.0,17180.0,17555.0,17135.0,5070.0,1.8
2023-01-11,17615.0,17490.0,17635.0,17330.0,4670.0,0.46
2023-01-12,19155.0,17625.0,19200.0,17615.0,14040.0,8.74
2023-01-13,19550.0,18945.0,19995.0,18785.0,7030.0,2.06
2023-01-15,20972.5,21017.5,21022.5,20920.0,,7.28
2023-01-16,21257.5,20967.5,21545.0,20690.0,,1.36
2023-01-17,21485.0,20985.0,21725.0,20690.0,12710.0,1.07
2023-01-18,20800.0,21325.0,21795.0,20460.0,13110.0,-3.19
2023-01-19,21200.0,20905.0,21275.0,20730.0,5320.0,1.92
2023-01-20,22390.0,21155.0,22525.0,20935.0,9470.0,5.61
2023-01-23,23090.0,22605.0,23240.0,22585.0,10730.0,3.13
2023-01-24,23065.0,22990.0,23210.0,22775.0,7980.0,-0.11
2023-01-25,22940.0,22770.0,23770.0,22345.0,10970.0,-0.54
2023-01-26,23075.0,23100.0,23285.0,22835.0,11150.0,0.59
2023-01-27,23052.7,22955.0,23090.0,22545.0,1500.0,-0.1
2023-01-30,22825.0,23900.0,24080.0,22715.0,5870.0,-0.99
2023-01-31,23250.0,22870.0,23410.0,22850.0,3490.0,1.86
2023-02-01,23755.0,23335.0,23965.0,22905.0,5610.0,2.17
2023-02-02,24005.0,23940.0,24450.0,23550.0,7690.0,1.05
2023-02-03,23485.0,23665.0,23890.0,23340.0,6470.0,-2.17
2023-02-06,23110.0,23100.0,23275.0,22755.0,4860.0,-1.6
2023-02-07,23300.0,22960.0,23460.0,22725.0,5730.0,0.82
2023-02-08,22885.0,23300.0,23540.0,22695.0,5590.0,-1.78
2023-02-09,22010.0,23015.0,23085.0,21720.0,10270.0,-3.82
2023-02-10,21775.0,21825.0,21970.0,21505.0,6150.0,-1.07
2023-02-13,21710.0,21820.0,21930.0,21380.0,7440.0,-0.3
2023-02-14,22335.0,21700.0,22375.0,21575.0,8590.0,2.88
2023-02-15,24250.0,22270.0,24415.0,22100.0,10950.0,8.57
2023-02-16,24640.0,24285.0,25345.0,24245.0,16550.0,1.61
2023-02-17,24870.0,24080.0,25095.0,23430.0,12410.0,0.93
2023-02-19,24345.0,24705.0,24750.0,24275.0,,-2.11
2023-02-20,24895.0,24355.0,25170.0,23907.5,,2.26
2023-02-21,24490.0,24505.0,25335.0,23905.0,19030.0,-1.63
2023-02-22,23800.0,24395.0,24495.0,23590.0,13560.0,-2.82
2023-02-23,23920.0,24100.0,24610.0,23620.0,11770.0,0.5
2023-02-24,23576.1,23880.0,24100.0,23560.0,12100.0,-1.44
2023-02-27,23445.0,23565.0,24060.0,23235.0,6660.0,-0.56
2023-02-28,23410.0,23585.0,23780.0,23150.0,4900.0,-0.15
2023-03-01,23530.0,23275.0,24165.0,23140.0,6340.0,0.51
2023-03-02,23590.0,23645.0,23925.0,23300.0,4720.0,0.25
2023-03-03,22320.0,23560.0,23615.0,22020.0,12040.0,-5.38
2023-03-06,22390.0,22455.0,22665.0,22300.0,4800.0,0.31
2023-03-07,22070.0,22455.0,22600.0,21940.0,6740.0,-1.43
2023-03-08,22115.0,22100.0,22300.0,21880.0,6280.0,0.2
2023-03-09,20065.0,21800.0,21850.0,19960.0,14040.0,-9.27
2023-03-10,19965.0,20300.0,20330.0,19520.0,13500.0,-0.5
