date,open,high,low,close,adj close,volume
2023-09-25,26253.78,26421.51,26011.47,26298.48,26298.48,11997833257
2023-09-24,26579.37,26716.06,26221.05,26256.83,26256.83,8192867686
2023-09-23,26578.56,26634.19,26520.52,26579.39,26579.39,7404700301
2023-09-22,26564.06,26726.08,26495.53,26579.57,26579.57,10578746709
2023-09-21,27129.84,27152.94,26389.3,26567.63,26567.63,13371443708
2023-09-20,27210.23,27379.51,26864.08,27132.01,27132.01,13281116604
2023-09-19,26760.85,27488.76,26681.61,27211.12,27211.12,13807690550
2023-09-18,26532.99,27414.73,26415.52,26754.28,26754.28,15615339655
2023-09-17,26567.93,26618.0,26445.07,26534.19,26534.19,6774210670
2023-09-16,26606.2,26754.77,26473.89,26568.28,26568.28,7402031417
2023-09-15,26533.82,26840.5,26240.7,26608.69,26608.69,11479735788
2023-09-14,26228.28,26774.62,26171.45,26539.67,26539.67,13811359124
2023-09-13,25837.55,26376.11,25781.12,26228.32,26228.32,13072077070
2023-09-12,25160.66,26451.94,25133.08,25833.34,25833.34,18657279324
2023-09-11,25831.71,25883.95,24930.3,25162.65,25162.65,14600006467
2023-09-10,25895.21,25978.13,25640.26,25832.23,25832.23,7899553047
2023-09-09,25905.43,25921.98,25810.49,25895.68,25895.68,5481314132
2023-09-08,26245.21,26414.01,25677.48,25905.65,25905.65,10817356400
2023-09-07,25748.31,26409.3,25608.2,26240.2,26240.2,11088307100
2023-09-06,25783.93,25953.02,25404.36,25753.24,25753.24,12752705327
2023-09-05,25814.96,25858.38,25589.99,25779.98,25779.98,11094740040
2023-09-04,25968.17,26081.53,25657.03,25812.42,25812.42,10680635106
2023-09-03,25869.47,26087.15,25817.03,25969.57,25969.57,8962524523
2023-09-02,25800.91,25970.29,25753.09,25868.8,25868.8,10100387473
2023-09-01,25934.02,26125.87,25362.61,25800.72,25800.72,17202862221
2023-08-31,27301.93,27456.08,25752.93,25931.47,25931.47,20181001451
2023-08-30,27726.08,27760.16,27069.21,27297.27,27297.27,16343655235
2023-08-29,26102.49,28089.34,25912.63,27727.39,27727.39,29368391712
2023-08-28,26089.62,26198.58,25880.6,26106.15,26106.15,11002805166
2023-08-27,26008.24,26165.37,25965.1,26089.69,26089.69,6913768611
2023-08-26,26047.23,26107.38,25983.88,26008.46,26008.46,6034817316
2023-08-25,26163.68,26248.1,25786.81,26047.67,26047.67,12406045118
2023-08-24,26431.52,26554.91,25914.93,26162.37,26162.37,12871532023
2023-08-23,26040.47,26786.9,25805.0,26431.64,26431.64,16985265785
