date,open,high,low,close,adj close,volume
Dec 1 2023,37718.01,38954.11,37629.36,38688.75,38688.75,23512784002
Nov 30 2023,37861.12,38141.75,37531.14,37712.75,37712.75,18115982627
Nov 29 2023,37826.11,38366.11,37612.63,37858.49,37858.49,20728546658
Nov 28 2023,37247.99,38368.48,36891.09,37831.09,37831.09,21696137014
Nov 27 2023,37454.19,37559.36,36750.13,37254.17,37254.17,19002925720
Nov 26 2023,37796.83,37820.30,37162.75,37479.12,37479.12,13744796068
Nov 25 2023,37721.41,37892.43,37617.42,37796.79,37796.79,9099571165
Nov 24 2023,37296.32,38415.34,37261.61,37720.28,37720.28,22922957823
Nov 23 2023,37420.43,37643.92,36923.86,37289.62,37289.62,14214948217
Nov 22 2023,35756.55,37856.98,35670.97,37432.34,37432.34,24397247860
Nov 21 2023,37469.16,37631.14,35813.81,35813.81,35813.81,25172163756
Nov 20 2023,37374.07,37756.82,36882.53,37476.96,37476.96,20888209068
Nov 19 2023,36585.77,37509.36,36414.60,37386.55,37386.55,12915986553
Nov 18 2023,36625.37,36839.28,36233.31,36585.70,36585.70,11886022717
Nov 17 2023,36164.82,36704.48,35901.23,36596.68,36596.68,22445028430
Nov 16 2023,37879.98,37934.63,35545.47,36154.77,36154.77,26007385366
Nov 15 2023,35548.11,37964.89,35383.78,37880.58,37880.58,27365821679
Nov 14 2023,36491.79,36753.35,34948.50,35537.64,35537.64,23857403554
Nov 13 2023,37070.30,37405.12,36399.61,36502.36,36502.36,19057712790
Nov 12 2023,37133.99,37227.69,36779.12,37054.52,37054.52,11545715999
Nov 11 2023,37310.07,37407.09,36773.67,37138.05,37138.05,13924272142
Nov 10 2023,36702.25,37493.80,36362.75,37313.97,37313.97,22711265155
Nov 9 2023,35633.63,37926.26,35592.10,36693.13,36693.13,37762672382
Nov 8 2023,35419.48,35994.42,35147.80,35655.28,35655.28,17295394918
Nov 7 2023,35047.79,35892.42,34545.82,35443.56,35443.56,18834737789
Nov 6 2023,35044.79,35286.03,34765.36,35037.37,35037.37,12693436420
Nov 5 2023,35090.01,35340.34,34594.24,35049.36,35049.36,12412743996
Nov 4 2023,34736.32,35256.03,34616.69,35082.20,35082.20,9561294264
Nov 3 2023,34942.47,34942.47,34133.44,34732.32,34732.32,17158456701
Nov 2 2023,35441.58,35919.84,34401.57,34938.24,34938.24,20998158544
Nov 1 2023,34657.27,35527.93,34170.69,35437.25,35437.25,22446272005
Oct 31 2023,34500.08,34719.25,34083.31,34667.78,34667.78,15758270810
Oct 30 2023,34531.74,34843.93,34110.97,34502.36,34502.36,17184860315
Oct 29 2023,34089.37,34743.26,33947.57,34538.48,34538.48,11160323986
Oct 28 2023,33907.72,34399.39,33874.80,34089.57,34089.57,10160330825
Oct 27 2023,34156.50,34238.21,33416.89,33909.80,33909.80,16418032871
Oct 26 2023,34504.29,34832.91,33762.32,34156.65,34156.65,19427195376
Oct 25 2023,33916.04,35133.76,33709.11,34502.82,34502.82,25254318008
Oct 24 2023,33077.30,35150.43,32880.76,33901.53,33901.53,44934999645
Oct 23 2023,30140.69,34370.44,30097.83,33086.23,33086.23,38363572311
Oct 22 2023,29918.65,30199.43,29720.31,29993.90,29993.90,10446520040
Oct 21 2023,29683.38,30287.48,29481.75,29918.41,29918.41,11541146996
Oct 20 2023,28732.81,30104.09,28601.67,29682.95,29682.95,21536125230
Oct 19 2023,28332.42,28892.47,28177.99,28719.81,28719.81,14448058195
Oct 18 2023,28413.53,28889.01,28174.25,28328.34,28328.34,12724128586
Oct 17 2023,28522.10,28618.75,28110.19,28415.75,28415.75,14872527508
Oct 16 2023,27162.63,29448.14,27130.47,28519.47,28519.47,27833876539
Oct 15 2023,26858.01,27289.17,26817.89,27159.65,27159.65,7098201980
Oct 14 2023,26866.20,26969.00,26814.59,26861.71,26861.71,5388116782
Oct 13 2023,26752.88,27092.70,26686.32,26862.38,26862.38,15165312851
Oct 12 2023,26873.29,26921.44,26558.32,26756.80,26756.80,9392909295
Oct 11 2023,27392.08,27474.12,26561.10,26873.32,26873.32,13648094333
Oct 10 2023,27589.20,27715.85,27301.65,27391.02,27391.02,9973350678
Oct 9 2023,27934.47,27989.47,27302.56,27583.68,27583.68,12007668568
Oct 8 2023,27971.68,28102.17,27740.66,27935.09,27935.09,7916875290
Oct 7 2023,27946.78,28028.09,27870.42,27968.84,27968.84,6553044316
Oct 6 2023,27412.12,28252.54,27215.55,27946.60,27946.60,13492391599
Oct 5 2023,27798.65,28091.86,27375.60,27415.91,27415.91,11877253670
Oct 4 2023,27429.07,27826.66,27248.11,27799.39,27799.39,11143355314
Oct 3 2023,27508.25,27667.19,27216.00,27429.98,27429.98,11407814187
Oct 2 2023,27976.80,28494.46,27347.79,27530.79,27530.79,19793041322
Oct 1 2023,26967.40,28047.24,26965.09,27983.75,27983.75,9503917434
Sep 30 2023,26911.69,27091.79,26888.97,26967.92,26967.92,5331172801
Sep 29 2023,27024.84,27225.94,26721.76,26911.72,26911.72,10396435377
Sep 28 2023,26355.81,27259.50,26327.32,27021.55,27021.55,14079002707
Sep 27 2023,26209.50,26817.84,26111.46,26352.72,26352.72,11718380997
Sep 26 2023,26294.76,26389.88,26090.71,26217.25,26217.25,9985498161
Sep 25 2023,26253.78,26421.51,26011.47,26298.48,26298.48,11997833257
Sep 24 2023,26579.37,26716.06,26221.05,26256.83,26256.83,8192867686
Sep 23 2023,26578.56,26634.19,26520.52,26579.39,26579.39,7404700301
Sep 22 2023,26564.06,26726.08,26495.53,26579.57,26579.57,10578746709
Sep 21 2023,27129.84,27152.94,26389.30,26567.63,26567.63,13371443708
Sep 20 2023,27210.23,27379.51,26864.08,27132.01,27132.01,13281116604
Sep 19 2023,26760.85,27488.76,26681.61,27211.12,27211.12,13807690550
Sep 18 2023,26532.99,27414.73,26415.52,26754.28,26754.28,15615339655
Sep 17 2023,26567.93,26618.00,26445.07,26534.19,26534.19,6774210670
Sep 16 2023,26606.20,26754.77,26473.89,26568.28,26568.28,7402031417
Sep 15 2023,26533.82,26840.50,26240.70,26608.69,26608.69,11479735788
Sep 14 2023,26228.28,26774.62,26171.45,26539.67,26539.67,13811359124
Sep 13 2023,25837.55,26376.11,25781.12,26228.32,26228.32,13072077070
Sep 12 2023,25160.66,26451.94,25133.08,25833.34,25833.34,18657279324
Sep 11 2023,25831.71,25883.95,24930.30,25162.65,25162.65,14600006467
Sep 10 2023,25895.21,25978.13,25640.26,25832.23,25832.23,7899553047
Sep 9 2023,25905.43,25921.98,25810.49,25895.68,25895.68,5481314132
Sep 8 2023,26245.21,26414.01,25677.48,25905.65,25905.65,10817356400
Sep 7 2023,25748.31,26409.30,25608.20,26240.20,26240.20,11088307100
Sep 6 2023,25783.93,25953.02,25404.36,25753.24,25753.24,12752705327
Sep 5 2023,25814.96,25858.38,25589.99,25779.98,25779.98,11094740040
Sep 4 2023,25968.17,26081.53,25657.03,25812.42,25812.42,10680635106
Sep 3 2023,25869.47,26087.15,25817.03,25969.57,25969.57,8962524523
Sep 2 2023,25800.91,25970.29,25753.09,25868.80,25868.80,10100387473
Sep 1 2023,25934.02,26125.87,25362.61,25800.72,25800.72,17202862221
Aug 31 2023,27301.93,27456.08,25752.93,25931.47,25931.47,20181001451
Aug 30 2023,27726.08,27760.16,27069.21,27297.27,27297.27,16343655235
Aug 29 2023,26102.49,28089.34,25912.63,27727.39,27727.39,29368391712
Aug 28 2023,26089.62,26198.58,25880.60,26106.15,26106.15,11002805166
Aug 27 2023,26008.24,26165.37,25965.10,26089.69,26089.69,6913768611
Aug 26 2023,26047.23,26107.38,25983.88,26008.46,26008.46,6034817316
Aug 25 2023,26163.68,26248.10,25786.81,26047.67,26047.67,12406045118
Aug 24 2023,26431.52,26554.91,25914.93,26162.37,26162.37,12871532023
Aug 23 2023,26040.47,26786.90,25805.00,26431.64,26431.64,16985265785
Aug 22 2023,26130.75,26135.51,25520.73,26031.66,26031.66,14503820706
Aug 21 2023,26188.69,26220.20,25846.09,26124.14,26124.14,13371557893
Aug 20 2023,26096.86,26260.68,26004.31,26189.58,26189.58,9036580420
Aug 19 2023,26047.83,26249.45,25802.41,26096.21,26096.21,10631443812
Aug 18 2023,26636.08,26808.20,25668.92,26049.56,26049.56,24026236529
Aug 17 2023,28699.80,28745.95,25409.11,26664.55,26664.55,31120851211
Aug 16 2023,29169.07,29221.98,28701.78,28701.78,28701.78,14949271904
Aug 15 2023,29408.05,29439.12,29088.85,29170.35,29170.35,12640195779
Aug 14 2023,29283.26,29660.25,29124.11,29408.44,29408.44,14013695304
Aug 13 2023,29416.59,29441.43,29265.81,29282.91,29282.91,7329897180
Aug 12 2023,29399.79,29465.11,29357.59,29415.96,29415.96,6194358008
Aug 11 2023,29424.90,29517.77,29253.52,29397.71,29397.71,10195168197
Aug 10 2023,29563.97,29688.56,29354.45,29429.59,29429.59,11865344789
Aug 9 2023,29766.70,30093.44,29376.80,29561.49,29561.49,18379521213
Aug 8 2023,29180.02,30176.80,29113.81,29765.49,29765.49,17570561357
Aug 7 2023,29038.51,29244.28,28724.14,29180.58,29180.58,13618163710
Aug 6 2023,29043.70,29160.82,28963.83,29041.86,29041.86,7269806994
Aug 5 2023,29075.39,29102.46,28957.80,29042.13,29042.13,6598366353
Aug 4 2023,29174.38,29302.08,28885.34,29074.09,29074.09,12036639988
Aug 3 2023,29161.81,29375.71,28959.49,29178.68,29178.68,12780357746
Aug 2 2023,29704.15,29988.00,28946.51,29151.96,29151.96,19212655598
Aug 1 2023,29230.87,29675.73,28657.02,29675.73,29675.73,18272392391
Jul 31 2023,29278.31,29489.87,29131.58,29230.11,29230.11,11656781982
Jul 30 2023,29357.09,29443.17,29059.50,29275.31,29275.31,8678454527
Jul 29 2023,29319.45,29396.84,29264.17,29356.92,29356.92,6481775959
Jul 28 2023,29212.16,29521.51,29125.85,29319.25,29319.25,11218474952
Jul 27 2023,29353.80,29560.97,29099.35,29210.69,29210.69,10770779217
Jul 26 2023,29225.76,29675.55,29113.91,29354.97,29354.97,13497554655
Jul 25 2023,29178.97,29353.16,29062.43,29227.39,29227.39,10266772793
Jul 24 2023,30081.66,30093.39,28934.29,29176.92,29176.92,15395817395
Jul 23 2023,29790.11,30330.64,29741.53,30084.54,30084.54,9220145050
Jul 22 2023,29908.70,29991.62,29664.12,29771.80,29771.80,7873300598
Jul 21 2023,29805.11,30046.00,29733.85,29908.74,29908.74,10972789818
Jul 20 2023,29915.25,30195.53,29638.10,29792.02,29792.02,14655207121
Jul 19 2023,29862.05,30184.18,29794.27,29913.92,29913.92,12128602812
Jul 18 2023,30147.07,30233.66,29556.43,29856.56,29856.56,13138897269
Jul 17 2023,30249.63,30336.40,29685.78,30145.89,30145.89,13240156074
Jul 16 2023,30297.47,30437.56,30089.67,30249.13,30249.13,8516564470
Jul 15 2023,30331.78,30407.78,30263.46,30295.81,30295.81,8011667756
Jul 14 2023,31474.72,31582.25,29966.39,30334.07,30334.07,20917902660
Jul 13 2023,30387.49,31814.52,30268.35,31476.05,31476.05,23686079548
Jul 12 2023,30622.25,30959.96,30228.84,30391.65,30391.65,14805659717
Jul 11 2023,30417.63,30788.31,30358.10,30620.95,30620.95,12151839152
Jul 10 2023,30172.42,31026.08,29985.39,30414.47,30414.47,14828209155
Jul 9 2023,30291.61,30427.59,30085.59,30171.23,30171.23,7903327692
Jul 8 2023,30346.92,30374.44,30080.16,30292.54,30292.54,7509378699
Jul 7 2023,29908.00,30434.64,29777.29,30342.27,30342.27,13384770155
Jul 6 2023,30507.15,31460.05,29892.23,29909.34,29909.34,21129219509
Jul 5 2023,30778.72,30877.33,30225.61,30514.17,30514.17,12481622280
Jul 4 2023,31156.87,31325.20,30659.36,30777.58,30777.58,12810828427
Jul 3 2023,30624.52,31375.61,30586.51,31156.44,31156.44,15271884873
Jul 2 2023,30587.27,30766.14,30264.02,30620.77,30620.77,10533418042
Jul 1 2023,30471.85,30641.29,30328.87,30590.08,30590.08,9086606733
Jun 30 2023,30441.35,31256.86,29600.28,30477.25,30477.25,26387306197
Jun 29 2023,30086.19,30796.25,30057.20,30445.35,30445.35,13180860821
Jun 28 2023,30696.56,30703.28,29921.82,30086.25,30086.25,14571500779
Jun 27 2023,30274.32,31006.79,30236.65,30688.16,30688.16,16428827944
