optionsymbol,exchange,date,futuresymbol,optionroot,expiration,securityid,strike,strikemultiplier,callput,futureexchange,futuresettlementprice,settlementprice,bid,offer,closeprice,volume,openinterest,lasttradedate,impliedvolatility,delta,vega,theta,gamma,rho,drho,optionid,exercisestyle,dte
P1E 23M26000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,26000.0,1.0,C,CMG,26925.0,970.0,-99.99,-99.99,970.0,0,0,,0.563511,0.884812,273.645601,-28096.948052,0.000244,62.612493,-99.99,2016618639,E,1
P1E 23M26000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,26000.0,1.0,P,CMG,26925.0,45.0,-99.99,-99.99,45.0,0,0,,0.563081,-0.114888,273.352513,-28088.256458,0.000244,-8.598237,-99.99,2016618640,E,1
P1E 23M27000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,27000.0,1.0,C,CMG,26925.0,230.0,-99.99,-99.99,230.0,0,0,,0.472193,0.460039,559.35119,-48191.567055,0.000596,33.305635,-99.99,2016618641,E,1
P1E 23M27000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,27000.0,1.0,P,CMG,26925.0,305.0,-99.99,-99.99,305.0,0,0,,0.47221,-0.539832,559.351443,-48189.850565,0.000596,-40.657469,-99.99,2016618642,E,1
P1E 23M28000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,28000.0,1.0,C,CMG,26925.0,50.0,-99.99,-99.99,50.0,0,0,,0.622412,0.117915,278.44167,-31625.910789,0.000225,8.561227,-99.99,2016618643,E,1
P1E 23M28000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,28000.0,1.0,P,CMG,26925.0,1125.0,-99.99,-99.99,1125.0,0,0,,0.622902,-0.881769,278.757937,-31636.934933,0.000225,-68.127764,-99.99,2016618644,E,1
P1E 23M29000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,29000.0,1.0,C,CMG,26925.0,18.0,-99.99,-99.99,18.0,0,0,,0.801072,0.040087,121.658132,-17785.059355,7.646e-05,2.907791,-99.99,2016618645,E,1
P1E 23M29000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,29000.0,1.0,P,CMG,26925.0,2095.0,-99.99,-99.99,2095.0,0,0,,0.819045,-0.956273,130.222249,-19367.961019,8.005e-05,-76.281223,-99.99,2016618646,E,1
P1E 23M30000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,30000.0,1.0,C,CMG,26925.0,8.0,-99.99,-99.99,8.0,0,0,,0.960229,0.016729,58.604085,-10269.510902,3.073e-05,1.212124,-99.99,2016618647,E,1
P1E 23M30000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,30000.0,1.0,P,CMG,26925.0,3080.0,-99.99,-99.99,3080.0,0,0,,0.909744,-0.987562,45.006368,-7329.573712,2.491e-05,-81.287928,-99.99,2016618648,E,1
P1E 23M31000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,31000.0,1.0,C,CMG,26925.0,2.0,-99.99,-99.99,2.0,0,0,,1.020669,0.00451,18.586628,-3462.076912,9.17e-06,0.327197,-99.99,2016618649,E,1
P1E 23M31000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,31000.0,1.0,P,CMG,26925.0,4075.0,-99.99,-99.99,4075.0,0,0,,0.897346,-0.998418,6.688796,-906.518178,3.75e-06,-84.814803,-99.99,2016618650,E,1
P1E 23M32000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,32000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,1.143361,0.002148,9.534444,-1989.443813,4.2e-06,0.155735,-99.99,2016618651,E,1
P1E 23M32000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,32000.0,1.0,P,CMG,26925.0,5075.0,-99.99,-99.99,5075.0,0,0,,1.099547,-0.998392,6.797698,-1128.849734,3.11e-06,-87.552613,-99.99,2016618652,E,1
P1E 23M33000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,33000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,1.32542,0.001878,8.438398,-2041.110091,3.21e-06,0.135789,-99.99,2016618653,E,1
P1E 23M33000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,33000.0,1.0,P,CMG,26925.0,6075.0,-99.99,-99.99,6075.0,0,0,,1.295556,-0.998366,6.905313,-1351.108266,2.68e-06,-90.290441,-99.99,2016618654,E,1
