model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#1,0.159782,0.137437,3.643306,4.044112,0.156266,0.159782
N-En,0.14888,0.130991,4.099579,4.747075,0.145758,0.14888
lgbm_dart#2,0.147117,0.126482,3.896104,4.359777,0.142478,0.147117
rf#2,0.143545,0.117361,4.154617,4.760652,0.137933,0.143545
pls#2,0.136521,0.113128,3.635646,4.417031,0.13161,0.136521
ffn#1,0.125671,0.132604,3.292845,4.447528,0.126339,0.125671
L-En,0.074088,0.060095,4.946188,5.793057,0.071618,0.074088
lasso#2,0.062444,0.048173,4.958346,5.726907,0.061784,0.062444
elasticnet#2,0.060694,0.049717,5.070143,5.746412,0.060534,0.060694
ridge#1,0.05013,0.064161,2.727264,5.481154,0.042627,0.05013
pcr#1,-0.005462,-0.000457,-5.71172,-2.751688,-0.005975,-0.005462
