model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
N-En,0.181118,0.175153,2.438499,2.307731,0.220465
ffn#1,0.174269,0.191729,2.208021,2.294042,0.20367
ffn#2,0.172089,0.189975,2.198122,2.287854,0.202724
lgbm_dart#1,0.159735,0.159137,1.767284,1.984666,0.23282
rf#2,0.144131,0.144477,2.410559,2.303164,0.194537
lgbm_dart#2,0.143412,0.144338,2.177106,2.210981,0.196132
rf#1,0.140765,0.133429,2.254019,2.0538,0.187382
lgbm_gbdt#2,0.137625,0.137586,1.645437,1.734313,0.216439
lgbm_gbdt#1,0.133741,0.149289,1.59969,1.875211,0.210214
L-En,0.094683,0.089484,2.727167,2.723052,0.087399
pls#2,0.083088,0.101833,1.516639,1.583151,0.181177
lasso#2,0.075833,0.075801,2.73688,2.719614,0.075891
lasso#1,0.075055,0.076207,2.69727,2.70962,0.075848
elasticnet#2,0.065541,0.080505,2.259961,2.599506,0.075279
elasticnet#1,0.065521,0.079705,2.285224,2.631078,0.073333
pcr#2,-0.004945,-0.001018,-1.945705,-2.6464,-0.010395
pcr#1,-0.004945,-0.001018,-1.945705,-2.6464,-0.010395
pls#1,-0.032206,0.090301,-0.006511,2.170261,0.138201
ridge#1,-0.110943,0.089623,-0.897777,2.171015,0.044765
ridge#2,-0.113384,0.089641,-0.922371,2.168497,0.044444
