model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
pls#1,0.026815,-0.013632,-0.417454,-0.790934,-0.041899,0.026815
ffn#2,0.025472,-0.00382,-0.285055,-0.477931,-0.015206,0.025472
L-En,0.024794,-0.001906,0.156625,-0.336832,0.004232,0.024794
ffn#1,0.020348,-0.010977,-0.556394,-0.725919,-0.045669,0.020348
elasticnet#1,0.017093,0.001705,0.095282,0.181168,0.002403,0.017093
pcr#2,0.016521,-0.001443,0.178941,-0.368755,0.004057,0.016521
pcr#1,0.016521,-0.001443,0.178957,-0.368749,0.004057,0.016521
lgbm_gbdt#2,0.014218,-0.007446,-0.582859,-0.838718,-0.037501,0.014218
elasticnet#2,0.013871,0.001611,0.080327,0.216483,0.001675,0.013871
lasso#2,0.01381,0.001523,-0.006343,0.221895,-0.000145,0.01381
lasso#1,0.01348,0.001508,0.003709,0.229174,8.2e-05,0.01348
pls#2,0.012999,-0.021406,-0.61831,-0.95326,-0.056852,0.012999
N-En,0.01211,-0.005913,-0.644239,-0.586916,-0.047999,0.01211
rf#2,0.011912,-0.001435,-0.592244,-0.253018,-0.037976,0.011912
lgbm_dart#2,0.009991,-0.00717,-0.679661,-0.662243,-0.061484,0.009991
lgbm_dart#1,0.007102,-0.004311,-0.72329,-0.686131,-0.047327,0.007102
rf#1,0.004533,-0.000922,-0.727499,-0.188676,-0.057769,0.004533
ridge#1,0.001434,-0.002911,0.633555,-0.365593,0.015017,0.001434
ridge#2,0.001048,-0.002861,0.620142,-0.362388,0.014815,0.001048
lgbm_gbdt#1,-0.013015,-0.016248,-0.934826,-0.89389,-0.097375,-0.013015
