model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#1,0.005104,0.023025,-0.557077,1.493131,-0.04557,0.005104
lgbm_dart#2,0.004346,0.013138,-0.038363,1.105128,-0.002872,0.004346
lgbm_gbdt#2,-0.005157,0.021897,-0.764148,1.395648,-0.09477,-0.005157
lgbm_dart#1,-0.00589,0.014503,-0.397898,1.021733,-0.046414,-0.00589
rf#1,-0.015347,0.033354,-0.360054,1.976747,-0.024299,-0.015347
elasticnet#2,-0.016606,-0.005183,0.169085,0.042197,0.007301,-0.016606
elasticnet#1,-0.017596,-0.006014,0.155014,-0.017659,0.006709,-0.017596
N-En,-0.018124,0.013589,-0.436679,1.171609,-0.042898,-0.018124
L-En,-0.018294,-0.009074,0.100714,-0.09202,0.004571,-0.018294
lasso#1,-0.019714,-0.007416,0.119205,-0.109713,0.005236,-0.019714
lasso#2,-0.019958,-0.007674,0.122454,-0.135441,0.005271,-0.019958
pcr#2,-0.022545,0.005176,-0.872737,0.934335,-0.011896,-0.022545
pcr#1,-0.022545,0.005176,-0.872737,0.934335,-0.011896,-0.022545
rf#2,-0.025146,0.009063,-0.721338,0.912993,-0.019214,-0.025146
ridge#1,-0.02517,-0.008622,-0.020445,-0.11847,-0.000961,-0.02517
ridge#2,-0.025334,-0.008657,-0.023562,-0.1207,-0.001106,-0.025334
pls#1,-0.113968,-0.05748,-1.036425,-1.164162,-0.094606,-0.113968
ffn#2,-0.143959,-0.032348,-1.063439,-0.800634,-0.169418,-0.143959
pls#2,-0.154417,-0.044513,-1.285582,-1.051931,-0.13733,-0.154417
ffn#1,-0.200296,-0.03104,-1.290392,-0.745382,-0.210246,-0.200296
