model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
rf#2,0.075729,0.103788,0.667312,1.654529,0.103189
rf#1,0.070528,0.103336,0.611772,1.472682,0.094111
L-En,0.066093,0.054733,1.296354,2.641034,0.081678
elasticnet#2,0.055956,0.0454,1.227873,2.673586,0.079085
elasticnet#1,0.055339,0.044456,1.245778,2.692036,0.077528
lasso#2,0.055126,0.037312,1.292945,2.544037,0.072408
lasso#1,0.055124,0.037323,1.292745,2.544539,0.07241
lgbm_gbdt#1,0.052043,0.085337,0.413152,1.203333,0.069162
ridge#1,0.051603,0.057688,1.113992,2.682216,0.088231
ridge#2,0.051561,0.057828,1.116322,2.679999,0.088254
pls#2,0.044309,0.099653,0.369278,1.976538,0.095805
N-En,0.040607,0.118478,0.247641,1.691676,0.081968
lgbm_dart#1,0.027275,0.108514,0.249667,1.356741,0.061775
lgbm_gbdt#2,0.013436,0.10044,0.015426,0.872114,0.045865
pls#1,0.007142,0.099361,0.146213,1.92146,0.088282
pcr#2,-0.01161,-0.00046,-2.362167,-1.097911,-0.007854
pcr#1,-0.01161,-0.00046,-2.362167,-1.097911,-0.007854
lgbm_dart#2,-0.028376,0.098378,-0.281722,1.133906,0.018337
ffn#2,-0.071014,0.128967,-0.314796,1.929949,0.069113
ffn#1,-0.073186,0.128231,-0.320471,1.927353,0.067861
