group,model,ls_return
2023-04-03,L-En,0.14012126954425005
2023-04-06,L-En,5.342400663533678
2023-04-10,L-En,4.01597542245014
2023-04-11,L-En,-0.2264011471943732
2023-04-12,L-En,0.39968332593512973
2023-04-13,L-En,6.522993404491857
2023-04-18,L-En,0.19717450945846102
2023-04-19,L-En,-0.4688346476540507
2023-04-20,L-En,0.841146363319826
2023-04-21,L-En,1.5654794910677694
2023-04-03,N-En,0.14012126954425005
2023-04-06,N-En,5.342400663533678
2023-04-10,N-En,4.01597542245014
2023-04-11,N-En,-0.2264011471943732
2023-04-12,N-En,0.3837618537717392
2023-04-13,N-En,6.522993404491857
2023-04-18,N-En,0.19717450945846102
2023-04-19,N-En,-0.4238868786024711
2023-04-20,N-En,0.8526151994263766
2023-04-21,N-En,1.5654794910677694
2023-04-03,elasticnet#1,0.14012126954425005
2023-04-06,elasticnet#1,5.342400663533678
2023-04-10,elasticnet#1,4.01597542245014
2023-04-11,elasticnet#1,-0.2264011471943732
2023-04-12,elasticnet#1,0.39968332593512973
2023-04-13,elasticnet#1,6.522993404491857
2023-04-18,elasticnet#1,0.19717450945846102
2023-04-19,elasticnet#1,-0.4688346476540507
2023-04-20,elasticnet#1,0.841146363319826
2023-04-21,elasticnet#1,1.5654794910677694
2023-04-03,elasticnet#2,0.14012126954425005
2023-04-06,elasticnet#2,5.342400663533678
2023-04-10,elasticnet#2,4.01597542245014
2023-04-11,elasticnet#2,-0.2264011471943732
2023-04-12,elasticnet#2,0.39968332593512973
2023-04-13,elasticnet#2,6.522993404491857
2023-04-18,elasticnet#2,0.19717450945846102
2023-04-19,elasticnet#2,-0.4688346476540507
2023-04-20,elasticnet#2,0.841146363319826
2023-04-21,elasticnet#2,1.5654794910677694
2023-04-03,ffn#1,0.14012126954425005
2023-04-06,ffn#1,5.342400663533678
2023-04-10,ffn#1,3.9993559149334814
2023-04-11,ffn#1,-0.2264011471943732
2023-04-12,ffn#1,0.3480148287611418
2023-04-13,ffn#1,6.522993404491857
2023-04-18,ffn#1,0.19717450945846102
2023-04-19,ffn#1,-0.45169134135941713
2023-04-20,ffn#1,0.8526151994263766
2023-04-21,ffn#1,1.5654794910677694
2023-04-03,ffn#2,0.14012126954425005
2023-04-06,ffn#2,5.380989782273535
2023-04-10,ffn#2,3.9912267638766505
2023-04-11,ffn#2,-0.2264011471943732
2023-04-12,ffn#2,0.3480148287611418
2023-04-13,ffn#2,4.587356697402739
2023-04-18,ffn#2,0.19717450945846102
2023-04-19,ffn#2,-0.4238868786024711
2023-04-20,ffn#2,0.8526151994263766
2023-04-21,ffn#2,1.5654794910677694
2023-04-03,lasso#1,-0.014048840946768226
2023-04-06,lasso#1,5.342400663533678
2023-04-10,lasso#1,4.01597542245014
2023-04-11,lasso#1,-0.2264011471943732
2023-04-12,lasso#1,0.39968332593512973
2023-04-13,lasso#1,6.522993404491857
2023-04-18,lasso#1,0.19717450945846102
2023-04-19,lasso#1,-0.4688346476540507
2023-04-20,lasso#1,0.841146363319826
2023-04-21,lasso#1,1.5654794910677694
2023-04-03,lasso#2,-0.014048840946768226
2023-04-06,lasso#2,5.342400663533678
2023-04-10,lasso#2,4.01597542245014
2023-04-11,lasso#2,-0.2264011471943732
2023-04-12,lasso#2,0.39968332593512973
2023-04-13,lasso#2,6.522993404491857
2023-04-18,lasso#2,0.19717450945846102
2023-04-19,lasso#2,-0.4688346476540507
2023-04-20,lasso#2,0.841146363319826
2023-04-21,lasso#2,1.5654794910677694
2023-04-03,lgbm_dart#1,-0.06875038932727529
2023-04-06,lgbm_dart#1,5.342400663533678
2023-04-10,lgbm_dart#1,3.9966732715748368
2023-04-11,lgbm_dart#1,-0.2264011471943732
2023-04-12,lgbm_dart#1,0.3837618537717392
2023-04-13,lgbm_dart#1,6.5244336515525525
2023-04-18,lgbm_dart#1,0.23390359556150034
2023-04-19,lgbm_dart#1,-0.4238868786024711
2023-04-20,lgbm_dart#1,0.8635131727141802
2023-04-21,lgbm_dart#1,1.5654794910677694
2023-04-03,lgbm_dart#2,-0.014048840946768226
2023-04-06,lgbm_dart#2,5.35475550903956
2023-04-10,lgbm_dart#2,4.011327521027674
2023-04-11,lgbm_dart#2,-0.18461462422817398
2023-04-12,lgbm_dart#2,0.3837618537717392
2023-04-13,lgbm_dart#2,6.522993404491857
2023-04-18,lgbm_dart#2,0.19717450945846102
2023-04-19,lgbm_dart#2,-0.44577866923268794
2023-04-20,lgbm_dart#2,0.841146363319826
2023-04-21,lgbm_dart#2,1.5654794910677694
2023-04-03,lgbm_gbdt#1,0.040121782442333165
2023-04-06,lgbm_gbdt#1,5.378382335406028
2023-04-10,lgbm_gbdt#1,3.9608270990038297
2023-04-11,lgbm_gbdt#1,-0.21083105217678716
2023-04-12,lgbm_gbdt#1,0.38216056332651105
2023-04-13,lgbm_gbdt#1,6.5290663626126735
2023-04-18,lgbm_gbdt#1,0.19717450945846102
2023-04-19,lgbm_gbdt#1,-0.4365178841014139
