model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
pcr#2,-0.122141,0.068913,-0.975539,0.329409,-0.188087,-0.122141
pcr#1,-0.122141,0.068913,-0.975539,0.329409,-0.188087,-0.122141
lgbm_gbdt#2,-0.128102,-0.060046,-0.787443,-0.627708,-0.374728,-0.128102
lgbm_dart#2,-0.199118,0.001113,-0.862711,0.15864,-0.411096,-0.199118
L-En,-0.199631,-0.012937,-0.903605,-0.193318,-0.302273,-0.199631
elasticnet#1,-0.240126,0.001742,-0.937083,-0.025122,-0.261978,-0.240126
elasticnet#2,-0.243228,0.006702,-0.955172,0.005338,-0.268736,-0.243228
lasso#2,-0.259314,0.015624,-1.01332,0.074136,-0.290602,-0.259314
lasso#1,-0.282822,-0.00303,-1.005048,-0.049477,-0.300091,-0.282822
ridge#2,-0.307611,-0.058366,-0.462781,-0.355598,-0.110249,-0.307611
ridge#1,-0.310295,-0.05819,-0.480082,-0.355426,-0.115259,-0.310295
rf#2,-0.395769,-0.108526,-1.106455,-0.581865,-0.701942,-0.395769
N-En,-0.411336,-0.094199,-1.095151,-0.554406,-0.683971,-0.411336
rf#1,-0.492176,-0.157684,-1.138588,-0.751744,-0.71516,-0.492176
lgbm_gbdt#1,-0.495774,-0.087067,-1.065206,-0.599243,-1.14895,-0.495774
ffn#2,-0.894384,-0.417959,-1.582083,-1.234982,-0.816486,-0.894384
lgbm_dart#1,-0.914553,-0.08552,-1.348433,-0.576131,-1.112565,-0.914553
pls#2,-1.201398,-0.72245,-1.531154,-1.550747,-0.95528,-1.201398
ffn#1,-1.346134,-0.654676,-1.848304,-1.439787,-1.006009,-1.346134
pls#1,-1.605479,-0.211152,-1.697303,-0.76258,-1.683799,-1.605479
