model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
L-En,0.070167,0.057288,-0.746534,0.173856,-0.199631
pcr#1,-0.00419,0.097687,-0.876235,0.613252,-0.122141
pcr#2,-0.00419,0.097687,-0.876235,0.613252,-0.122141
lgbm_gbdt#2,-0.022447,-0.003305,-0.84859,-0.182005,-0.128102
elasticnet#1,-0.069031,0.011616,-0.872078,0.157594,-0.240126
elasticnet#2,-0.074259,0.014722,-0.896629,0.182243,-0.243228
lgbm_gbdt#1,-0.089223,-0.053166,-1.111577,-0.371515,-0.495774
lasso#2,-0.094484,0.010699,-0.979485,0.208506,-0.259314
lasso#1,-0.096447,0.00301,-0.945209,0.122297,-0.282822
N-En,-0.1065,-0.005691,-1.06577,-0.348193,-0.411336
rf#2,-0.108916,-0.021872,-1.077853,-0.491143,-0.395769
ridge#1,-0.139322,0.025629,-0.295679,0.034133,-0.310295
ridge#2,-0.140462,0.025378,-0.277719,0.034457,-0.307611
lgbm_dart#2,-0.159353,0.005316,-0.978193,0.276369,-0.199118
rf#1,-0.226187,-0.038038,-1.109786,-0.648147,-0.492176
ffn#2,-0.323903,-0.113198,-1.365756,-0.85012,-0.894384
ffn#1,-0.602768,-0.239053,-1.573717,-1.102383,-1.346134
pls#1,-0.628692,0.01779,-1.505694,-0.191049,-1.605479
lgbm_dart#1,-0.772911,-0.025456,-1.419708,-0.541544,-0.914553
pls#2,-1.549154,-0.253874,-1.400487,-0.817168,-1.201398
