model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,18,2.033871,3.449546,2.501484,0.666667
N-En,18,2.050852,3.40444,2.555788,0.666667
elasticnet#1,18,2.079034,3.549681,2.484898,0.666667
elasticnet#2,18,2.0829,3.5594,2.482721,0.666667
ffn#1,18,1.938246,3.214581,2.558119,0.666667
ffn#2,18,1.938246,3.214581,2.558119,0.666667
lasso#1,18,2.047646,3.479849,2.496496,0.666667
lasso#2,18,2.079034,3.549681,2.484898,0.666667
lgbm_dart#1,18,2.085175,3.475634,2.545334,0.666667
lgbm_dart#2,18,2.056559,3.348351,2.605832,0.666667
lgbm_gbdt#1,18,2.148212,3.631987,2.509396,0.666667
lgbm_gbdt#2,18,2.003263,3.365634,2.525267,0.666667
pcr#1,18,1.846496,2.995696,2.615092,0.722222
pcr#2,18,1.846496,2.995696,2.615092,0.722222
pls#1,18,2.046202,3.425708,2.534163,0.666667
pls#2,18,2.036506,3.461962,2.495742,0.666667
rf#1,18,2.08108,3.436975,2.568908,0.666667
rf#2,18,2.07105,3.421533,2.568066,0.666667
ridge#1,18,2.04892,3.473823,2.502381,0.666667
ridge#2,18,2.051238,3.474129,2.504991,0.666667
