model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.213543,0.187957,0.630682,0.581858,0.212148
N-En,0.189517,0.174897,0.610862,0.596298,0.184799
lgbm_dart#1,0.17894,0.173841,0.460327,0.460466,0.245644
rf#2,0.172347,0.162426,0.725955,0.764608,0.130103
rf#1,0.167283,0.167146,0.682733,0.712729,0.160881
lgbm_gbdt#1,0.161037,0.166442,0.438234,0.448824,0.232013
lgbm_dart#2,0.145547,0.129024,0.421222,0.398441,0.168825
ffn#1,0.129761,0.151236,0.523445,0.65619,0.141275
ffn#2,0.129638,0.147139,0.532422,0.660316,0.138412
lasso#2,0.100994,0.092207,0.801164,0.873367,0.055144
elasticnet#2,0.095982,0.089781,0.814174,0.87884,0.057565
elasticnet#1,0.095531,0.089595,0.814588,0.879222,0.057736
ridge#1,0.095028,0.110797,0.560815,0.858565,0.03137
ridge#2,0.094559,0.110649,0.559218,0.859642,0.030871
lasso#1,0.094132,0.089183,0.815009,0.880488,0.0585
L-En,0.06808,0.077619,0.810725,0.923667,0.066359
pcr#1,0.004524,-0.000915,0.627627,-0.958645,-0.007673
pcr#2,0.004524,-0.000915,0.627627,-0.958645,-0.007673
pls#2,-0.151216,0.077235,-4.397518,0.700708,0.17154
pls#1,-0.52784,0.052453,-2.080388,0.843547,0.165471
