model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#2,0.11313,0.06858,1.619309,1.496787,0.121617,0.11313
N-En,0.109407,0.065302,1.728853,1.627461,0.110316,0.109407
lgbm_dart#2,0.103774,0.055925,1.461032,1.252009,0.098218,0.103774
rf#1,0.095572,0.050085,1.588088,1.602396,0.100169,0.095572
pls#2,0.078777,0.029506,1.599214,1.473419,0.086776,0.078777
ffn#1,0.076589,0.060475,1.575013,1.74477,0.079466,0.076589
L-En,0.066904,0.030026,2.47866,1.740374,0.068,0.066904
lasso#2,0.058111,0.025975,2.423551,1.830683,0.0613,0.058111
elasticnet#1,0.051715,0.02263,2.506265,1.897134,0.053016,0.051715
pcr#2,0.048616,0.017254,2.235979,1.507635,0.049878,0.048616
ridge#2,-0.040639,0.033869,-0.027303,1.131904,-0.000702,-0.040639
