model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
N-En,0.089521,0.02602,1.566613,1.456662,0.109407
lgbm_gbdt#2,0.085035,0.015633,1.427762,1.319289,0.11313
L-En,0.083405,0.021459,2.587159,1.554209,0.066904
lgbm_dart#2,0.080739,0.018223,1.338093,1.141762,0.103774
ffn#1,0.067626,0.025226,1.214902,1.548747,0.076589
pls#2,0.065932,0.002088,1.41645,1.282727,0.078777
rf#1,0.057906,0.013978,1.396032,1.409036,0.095572
elasticnet#1,0.049161,0.018701,2.423481,1.761425,0.051715
lasso#2,0.048102,0.017458,2.397837,1.608811,0.058111
pcr#2,0.042637,0.01569,2.367325,1.089861,0.048616
ridge#2,-0.086264,0.017313,-1.159636,0.708793,-0.040639
