feature,coef,intercept
moneyness_std,0.0002670070901589135,0.21436876108960723
tau,0.08579147561320957,0.21436876108960723
is_call,0.0,0.21436876108960723
delta_model,-0.006876810445876319,0.21436876108960723
theta_model,-0.13209493415062792,0.21436876108960723
gamma_model,0.016176253177675775,0.21436876108960723
vega_model,-0.1229491182663833,0.21436876108960723
iv,0.0,0.21436876108960723
log_mid_t,-0.08562752027095445,0.21436876108960723
opt_rel_spread_final,0.14809216348841453,0.21436876108960723
opt_rel_spread_chg,0.016102896235074826,0.21436876108960723
baspread_chg,4.1805577355491785e-17,0.21436876108960723
log_open_interest_opt,0.0,0.21436876108960723
d_log_open_interest_opt,-0.006471442768126354,0.21436876108960723
