feature,coef,intercept
moneyness_std,0.07351545450841436,0.31374872100587625
tau,-0.0802349293849035,0.31374872100587625
is_call,0.08542580227040106,0.31374872100587625
delta_model,-0.05350412952503098,0.31374872100587625
theta_model,-0.026482722970719547,0.31374872100587625
gamma_model,-0.01890038028718949,0.31374872100587625
vega_model,-0.07479399308006553,0.31374872100587625
iv,0.11691012692956618,0.31374872100587625
log_mid_t,-0.31614856779082084,0.31374872100587625
opt_rel_spread_final,0.17635419101939528,0.31374872100587625
opt_rel_spread_chg,0.04419847322617639,0.31374872100587625
baspread_chg,0.04419847322617639,0.31374872100587625
log_open_interest_opt,-0.021581925459484726,0.31374872100587625
d_log_open_interest_opt,0.016734646262421733,0.31374872100587625
