feature,coef,intercept
moneyness_std,0.0,0.21017134917177263
tau,0.07213248377334733,0.21017134917177263
is_call,0.0,0.21017134917177263
delta_model,-0.006304047574384037,0.21017134917177263
theta_model,-0.1042209585603207,0.21017134917177263
gamma_model,0.015297772033047751,0.21017134917177263
vega_model,-0.0924611648521953,0.21017134917177263
iv,0.00016331208122226924,0.21017134917177263
log_mid_t,-0.07898205348887223,0.21017134917177263
opt_rel_spread_final,0.15410764785326556,0.21017134917177263
opt_rel_spread_chg,0.008076741727997182,0.21017134917177263
baspread_chg,0.004441100195387851,0.21017134917177263
log_open_interest_opt,0.0,0.21017134917177263
d_log_open_interest_opt,-0.0063154099899877265,0.21017134917177263
