model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#1,0.227605,0.246638,0.892135,0.595244,0.279009
lgbm_gbdt#2,0.19159,0.173927,1.071775,0.526658,0.226884
ffn#1,0.190815,0.199732,1.282857,0.84727,0.209624
ffn#2,0.189833,0.198637,1.279424,0.844643,0.208774
N-En,0.18244,0.174466,1.176517,0.743391,0.202521
lgbm_dart#2,0.174684,0.1761,1.17379,0.817682,0.196311
pls#2,0.153278,0.13179,1.282626,0.671331,0.169506
pls#1,0.145988,0.110489,1.238554,0.725496,0.172789
rf#1,0.140013,0.125053,1.109037,0.615293,0.166112
rf#2,0.133427,0.117742,1.1467,0.641663,0.15655
L-En,0.101677,0.08525,1.202769,0.719536,0.109958
lgbm_dart#1,0.097268,0.104256,1.056711,0.850716,0.111932
pcr#1,0.075858,0.046589,1.234084,0.859975,0.068508
pcr#2,0.075858,0.046589,1.234084,0.859975,0.068508
lasso#2,0.069371,0.061449,1.101242,0.63479,0.084334
lasso#1,0.067938,0.060128,1.101007,0.632849,0.082447
elasticnet#1,0.06456,0.058811,1.130237,0.63967,0.077481
elasticnet#2,0.063777,0.058835,1.139458,0.654646,0.075841
ridge#1,-0.048733,0.122477,1.057544,0.669297,0.117245
ridge#2,-0.049547,0.12282,1.058041,0.667229,0.117726
