model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#2,0.136454,0.097667,1.96925,2.259326,0.205611
lgbm_dart#1,0.134951,0.084977,1.82753,2.040211,0.191722
N-En,0.132045,0.086738,1.838857,2.261901,0.188791
ffn#2,0.130344,0.085774,1.497773,1.658154,0.203786
ffn#1,0.121015,0.073377,1.526673,1.791735,0.185411
lgbm_gbdt#1,0.120677,0.078215,1.839205,2.050709,0.180133
pls#1,0.119983,0.082529,1.61649,1.685894,0.183258
lgbm_gbdt#2,0.115947,0.087491,1.954129,2.147311,0.175432
pls#2,0.115006,0.0704,1.636278,1.772162,0.17239
rf#2,0.113386,0.071138,1.847501,2.033144,0.166231
rf#1,0.110149,0.061267,1.761661,2.274123,0.161444
L-En,0.066887,0.036148,1.920401,2.585452,0.084353
lasso#2,0.056795,0.024449,1.884469,2.9963,0.070388
elasticnet#2,0.055062,0.024196,1.88116,3.007396,0.068816
lasso#1,0.053356,0.024428,1.869233,3.010831,0.06764
elasticnet#1,0.049135,0.02449,1.816599,3.013554,0.064579
ridge#2,0.048052,0.027387,1.694743,2.656894,0.075456
ridge#1,0.047998,0.027381,1.693144,2.66396,0.075286
pcr#2,-0.005472,-0.000287,-1.60964,-1.217615,-0.004726
pcr#1,-0.005472,-0.000287,-1.60964,-1.217615,-0.004726
