model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#2,0.294615,0.113097,0.373259,0.502408,0.19535
lgbm_dart#1,0.260871,0.064028,-0.093511,0.203997,0.19973
N-En,0.248389,0.101449,0.367266,0.381663,0.194367
lgbm_gbdt#1,0.232655,0.066516,0.618424,0.303247,0.154487
lgbm_gbdt#2,0.205662,0.044112,0.740215,0.226722,0.131399
ffn#2,0.199757,0.073983,0.731894,0.311104,0.183795
rf#2,0.195279,0.121549,-0.228662,0.431294,0.177198
L-En,0.188669,0.163862,0.229212,0.986322,0.147292
ridge#2,0.186921,0.192687,0.777331,1.078139,0.166623
ridge#1,0.186891,0.192679,0.768803,1.07856,0.166735
rf#1,0.176597,0.096742,-0.358294,0.341012,0.173113
pcr#1,0.163443,0.08386,1.042425,1.093052,0.074463
pcr#2,0.163443,0.08386,1.042425,1.093052,0.074463
lasso#1,0.148091,0.143713,-0.129772,0.909324,0.13837
lasso#2,0.134348,0.13424,-0.148216,0.901132,0.131664
elasticnet#1,0.133834,0.135056,-0.147186,0.902163,0.131749
elasticnet#2,0.133349,0.134716,-0.142787,0.903427,0.131198
ffn#1,0.107397,0.003782,0.383081,0.109012,0.15305
pls#2,0.075349,0.189308,-0.69606,0.772704,0.170599
pls#1,0.051053,0.158038,-0.769806,0.716186,0.151929
