model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
pcr#1,0.058001,,0.848652,,0.058001,0.058001
pcr#2,0.058001,,0.848652,,0.058001,0.058001
lgbm_gbdt#1,-0.274316,,-1.903578,,-0.274316,-0.274316
elasticnet#1,-0.700102,,-2.09777,,-0.700102,-0.700102
lasso#1,-0.991769,,-2.108959,,-0.991769,-0.991769
elasticnet#2,-1.027985,,-2.137195,,-1.027985,-1.027985
lasso#2,-1.085515,,-2.209256,,-1.085515,-1.085515
rf#2,-1.226725,,-5.234542,,-1.226725,-1.226725
L-En,-1.782292,,-1.942108,,-1.782292,-1.782292
N-En,-1.952069,,-2.85753,,-1.952069,-1.952069
ridge#1,-2.551336,,-2.022244,,-2.551336,-2.551336
ridge#2,-2.574568,,-2.017131,,-2.574568,-2.574568
rf#1,-2.812937,,-4.878823,,-2.812937,-2.812937
ffn#1,-2.9406,,-3.395995,,-2.9406,-2.9406
lgbm_dart#2,-3.024855,,-2.12185,,-3.024855,-3.024855
ffn#2,-3.603823,,-3.294191,,-3.603823,-3.603823
lgbm_dart#1,-5.066492,,-3.395324,,-5.066492,-5.066492
lgbm_gbdt#2,-5.159148,,-2.135294,,-5.159148,-5.159148
pls#1,-17.235543,,-2.654553,,-17.235543,-17.235543
pls#2,-17.953236,,-2.65479,,-17.953236,-17.953236
