model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.200876,0.158506,1.862506,2.010229,0.200961,0.200876
rf#2,0.200876,0.158506,1.862506,2.010229,0.200961,0.200876
lgbm_dart#1,0.195295,0.171326,1.877197,2.137723,0.194118,0.195295
ffn#1,0.184004,0.134681,1.826517,2.055106,0.18374,0.184004
ffn#2,0.183629,0.134416,1.82681,2.05603,0.183412,0.183629
N-En,0.180766,0.143153,1.991905,2.206354,0.179604,0.180766
lgbm_gbdt#2,0.150265,0.124476,2.225778,2.398588,0.148469,0.150265
lgbm_dart#2,0.149279,0.120481,2.1591,2.346581,0.146034,0.149279
pls#1,0.1489,0.107264,1.876206,2.002906,0.149011,0.1489
pls#2,0.147726,0.111065,1.874726,2.007403,0.148117,0.147726
lgbm_gbdt#1,0.144852,0.11358,2.118466,2.288495,0.143251,0.144852
ridge#2,0.091429,0.05972,2.121926,2.397076,0.08929,0.091429
ridge#1,0.091249,0.059547,2.122975,2.398286,0.089127,0.091249
L-En,0.089085,0.059823,2.159833,2.381663,0.088126,0.089085
lasso#2,0.076405,0.047543,2.196439,2.466275,0.075393,0.076405
lasso#1,0.076352,0.047488,2.196524,2.466357,0.075342,0.076352
elasticnet#1,0.075904,0.047017,2.197386,2.467342,0.074913,0.075904
elasticnet#2,0.074808,0.045864,2.198857,2.468228,0.07387,0.074808
pcr#1,0.034219,0.021064,2.338153,2.657619,0.03384,0.034219
pcr#2,0.034219,0.021064,2.338153,2.657619,0.03384,0.034219
